"Pair","Period","Dev","ADX","NetProfit","ProfitFactor","Drawdown","Trades"
"AUDUSD#","H1","2","25","1182.52","0","0","0"
"AUDUSD#","H1","2","35","615.43","0","0","0"
"AUDUSD#","H1","1.8","25","1182.52","0","0","0"
"AUDUSD#","M15","2","35","-1660.18","0","0","0"
"EURUSD#","H1","2","25","195.27","0","0","0"
"EURUSD#","H1","1.5","25","151.64","0","0","0"
"EURUSD#","M15","1.8","25","898.08","0","0","0"
"GBPUSD#","M30","2","25","48.28","0","0","0"
"GBPUSD#","M15","1.5","25","-15.46","0","0","0"
"USDCAD#","H1","2","25","222.33","0","0","0"
"USDCAD#","M30","1.8","25","-608.91","0","0","0"
